time (msec),x axis,y axis,z axis
0,1728,-15736,2748
10,2928,-15780,1920
20,4492,-16188,1340
30,2272,-14536,2092
40,2700,-16180,2652
50,3484,-16400,1640
60,3696,-15912,1524
70,4076,-15352,1212
80,4036,-14228,1212
90,3336,-15380,2128
100,2540,-15088,2056
110,3452,-16444,2064
120,3480,-16004,2292
130,3420,-15632,2072
140,3404,-15444,2116
150,3448,-15956,2200
160,3396,-15924,1976
170,3464,-15940,1984
180,3092,-15588,1872
190,3440,-15488,1612
200,3272,-15024,1956
210,3104,-15344,1724
220,3348,-15552,2100
230,3332,-15740,2300
240,3324,-15624,2104
250,3372,-15564,2252
260,3404,-15392,2148
270,3176,-15656,2064
280,3212,-15980,1996
290,3212,-16372,2136
300,3148,-15804,2188
310,3128,-15732,1920
320,3084,-15588,2044
330,3060,-15732,2068
340,2992,-15948,1948
350,2996,-15936,1932
360,2916,-15828,1932
370,2948,-15696,1812
380,2920,-15984,2036
390,3100,-15708,1828
400,3236,-16040,1988
410,3204,-15968,1976
420,3356,-15968,1984
430,3260,-16092,1904
440,3276,-15876,2016
450,3336,-15928,2032
460,3440,-15420,2200
470,3516,-15720,1676
480,3168,-15444,1592
490,3132,-15524,1472
500,3176,-15580,1620
510,3112,-15384,1528
520,3332,-15384,1480
530,3388,-15796,1228
540,3472,-15676,1348
550,3296,-16348,1208
560,3452,-16004,1260
570,3392,-16144,1044
580,3332,-16428,1248
590,3180,-16604,1388
600,3588,-16152,712
610,3856,-16364,1272
620,3520,-16436,976
630,3708,-16276,780
640,3528,-16116,720
650,3604,-16040,828
660,3676,-15700,672
670,3572,-15892,368
680,3652,-16124,504
690,3668,-16112,628
700,3776,-15892,188
710,3520,-16652,552
720,3672,-15948,584
730,4008,-16096,56
740,3584,-16392,-260
750,3712,-16408,-92
760,3712,-16308,148
770,3728,-16272,228
780,3720,-16224,88
790,3716,-16516,-84
800,3592,-16340,-52
810,3536,-16144,-140
820,3696,-15876,-132
830,3828,-15924,-152
840,3720,-16100,-624
850,4008,-16180,-476
860,3964,-16320,-636
870,3968,-16388,-520
880,4024,-15996,-608
890,4020,-15800,-448
900,4016,-15832,-596
910,3872,-15832,-572
920,3752,-16008,-804
930,3696,-15896,-776
940,3832,-15948,-1072
950,3840,-15968,-1072
960,3988,-16028,-1192
970,3996,-16148,-996
980,3960,-16276,-1172
990,3860,-16220,-1224
1000,3756,-16140,-1320
1010,3816,-16140,-1476
1020,4120,-16312,-1644
1030,4168,-16444,-1720
1040,4080,-16328,-1656
1050,3960,-16224,-1636
1060,3848,-16000,-1592
1070,3800,-16204,-1592
1080,3868,-16100,-1776
1090,3884,-16080,-1984
1100,4160,-16112,-2048
1110,4108,-16224,-2076
1120,4076,-16112,-1960
1130,4300,-16452,-2348
1140,4436,-16332,-2304
1150,4448,-16260,-2460
1160,4048,-16140,-2356
1170,3952,-16396,-2280
1180,3748,-16368,-2116
1190,3780,-16196,-2188
1200,4024,-16412,-2428
1210,3996,-16260,-2364
1220,4084,-16524,-2516
1230,3948,-16400,-2576
1240,3740,-16344,-2348
1250,3744,-16116,-2404
1260,3996,-16160,-2536
1270,4132,-16116,-2472
1280,4292,-16000,-2796
1290,4660,-15704,-2352
1300,4160,-16176,-2148
1310,4168,-16332,-2568
1320,4492,-15852,-2668
1330,4244,-15992,-2464
1340,4072,-16072,-2140
1350,3688,-16044,-2120
1360,3648,-16300,-2076
1370,3700,-15916,-2100
1380,3880,-15780,-2036
1390,3884,-15748,-2340
1400,3888,-15688,-2580
1410,3984,-15784,-2620
1420,3964,-15772,-2748
1430,4232,-15996,-2640
1440,4076,-15940,-2712
1450,3868,-15912,-2760
1460,3928,-15976,-2608
1470,3868,-16072,-2572
1480,3984,-16216,-2552
1490,4052,-16276,-2604
1500,4056,-16488,-2680
1510,4084,-16552,-2560
1520,4188,-16592,-2632
1530,4352,-16444,-2584
1540,4392,-16392,-2740
1550,4488,-16468,-2700
1560,4328,-16420,-2632
1570,4388,-16280,-2604
1580,4232,-16492,-2676
1590,4276,-16368,-2708
1600,4424,-16564,-2796
1610,4404,-16504,-2708
1620,4348,-16632,-2576
